m200 c200 mdstar mdbul mdgas rdstar rdbul rdgas
7.237922372954972428e-01 7.757658685239747776e+00 5.391099386586993347e+01 8.657268335345950305e+00 5.288563796787185822e+01 2.848255077668024882e+00 2.029760419754050582e-01 9.285217726354613177e+00
7.942880635614232299e-01 8.004598862404817439e+00 5.169327128864460974e+01 8.473624368837297638e+00 3.848592911544140094e+01 2.819006345395852708e+00 2.022651663044281456e-01 7.634569471972629806e+00
6.117446164124322738e-01 1.122699144457595111e+01 4.584020195443716261e+01 8.242172349533740672e+00 3.664148916754345464e+01 2.778881159784986288e+00 2.013269451961632317e-01 7.602723720406786789e+00
6.329470042918694528e-01 9.845592491710757344e+00 4.717695911268616271e+01 8.194090814973304049e+00 4.380198661626386070e+01 2.746402960904928747e+00 2.005030967765281114e-01 7.805191402020233760e+00
7.600751064317254890e-01 9.489522304711304201e+00 4.176299304710383353e+01 8.013824752805128071e+00 3.558042951837039425e+01 2.655351041519295574e+00 2.017693040344752664e-01 5.853506464188861891e+00
6.385637843861071694e-01 1.090601648758231335e+01 4.467244982170002032e+01 8.008446109228579246e+00 3.940584158122372571e+01 2.663196303461269121e+00 2.005050879979273226e-01 7.565457705278644696e+00
6.642820775715805315e-01 8.888653697447081115e+00 5.178783048213638551e+01 8.667217802911439506e+00 4.663447726718661812e+01 2.858439878026844294e+00 2.098560157454425756e-01 8.866355912597672528e+00
7.000213982965256543e-01 7.871912522894502828e+00 5.164474839299198550e+01 8.497462203177796880e+00 4.331350411526273803e+01 2.879500497045867302e+00 2.019886386289875824e-01 7.407354900874155490e+00
7.167114936212555243e-01 9.214834565946539158e+00 4.558122970164642851e+01 8.286892658296160619e+00 3.850220472446535069e+01 2.734329777744263446e+00 2.013494028107088163e-01 6.720421484775198628e+00
6.703521969948664783e-01 1.037023150311427955e+01 4.719833541240874553e+01 8.307982841552330910e+00 3.792179426002721954e+01 2.808897328917319136e+00 2.038155950714095888e-01 8.017616201846788471e+00
7.634961471580764547e-01 8.061995343457830643e+00 4.870108456640134875e+01 8.086529378007746516e+00 4.861058236219928119e+01 2.726343181548439354e+00 2.038101244087988650e-01 7.933815860346130400e+00
7.979232907259612428e-01 6.595636853815518563e+00 5.557277171063391563e+01 8.715333127190532991e+00 4.818259427979587883e+01 2.935405446602826984e+00 2.010906179686575979e-01 8.108923210383480296e+00
6.691377039446079200e-01 9.193200138996626691e+00 4.993781649048597870e+01 7.932070307957688193e+00 4.380283838510908367e+01 2.802271526571916471e+00 2.014020551994033792e-01 8.100039920048281772e+00
6.924696169045663208e-01 9.013380727513570889e+00 5.459794199788085933e+01 8.363626381662946585e+00 4.652984129778725730e+01 2.943290770305784676e+00 2.010027152644766613e-01 1.004946158032694647e+01
7.175995971743520663e-01 9.102008716651880604e+00 5.485756931764520061e+01 8.529469180684168705e+00 3.372188006410224403e+01 2.974819543479120476e+00 2.073363824639548325e-01 8.778936247266873494e+00
7.826496802137872244e-01 8.215538764804829697e+00 4.626411216381149671e+01 8.313327261180628369e+00 4.115260838090698314e+01 2.698071300050076449e+00 2.028815166840597928e-01 6.668205265850017938e+00
6.034779744301663751e-01 1.018378618717198059e+01 4.868363836112382614e+01 8.378258559813264839e+00 4.456919174006801398e+01 2.828767274186499314e+00 2.006505168016895768e-01 8.341048068738681209e+00
6.770379000440458483e-01 8.589105920575761388e+00 5.407056033992871136e+01 8.402258136002556554e+00 5.169491574229143538e+01 2.892007567061332995e+00 2.029294857837452004e-01 9.862249367589523530e+00
7.165985055076369292e-01 7.540940067053737650e+00 5.052475338156907014e+01 8.362483385240256695e+00 5.017941349783201588e+01 2.825408154823704443e+00 2.007956378362855676e-01 7.720432635229969698e+00
6.246716079015983691e-01 8.632090066714441789e+00 4.946366206890252926e+01 8.009245135906068569e+00 4.910856322248852734e+01 2.795412556069674537e+00 2.013379244206518759e-01 7.777538952926611238e+00
6.556526650180652949e-01 1.018172405661590219e+01 5.363910324057434309e+01 7.931604245555672783e+00 3.498292661282128790e+01 2.957462534905527907e+00 2.039421192150779050e-01 9.237649636330042213e+00
7.248607542663065839e-01 1.306128211388175586e+01 3.948222620791785431e+01 7.991453511925161735e+00 1.944746007863525961e+01 2.689719952324602037e+00 2.014181692338335994e-01 5.751540369636787275e+00
8.540512553721792965e-01 8.983490107756102461e+00 4.261506331741017561e+01 8.232327165327866680e+00 3.050014303293358964e+01 2.712870063685230093e+00 2.020378836066271666e-01 5.435284081229760034e+00
6.482787642478889945e-01 8.878898131530043258e+00 5.286562246157429001e+01 9.022555995729424794e+00 5.248650406765263909e+01 2.854094113978807634e+00 2.036611901508343925e-01 9.789405161284644663e+00
6.736288463009153515e-01 9.908964748024271074e+00 5.351086664442594554e+01 7.852725962352162803e+00 3.932740518283235076e+01 2.908025655151399214e+00 2.007540043713496036e-01 9.764988144302645168e+00
7.876052600172904761e-01 9.236477099541371416e+00 5.036312295935389471e+01 7.987616497653598380e+00 3.459043670840699747e+01 2.819058101184499066e+00 2.108500502206910321e-01 8.100708891028114422e+00
6.953637807788990433e-01 8.395086716600026477e+00 4.770950674343879427e+01 8.280658584230682351e+00 4.491487175572866875e+01 2.784272551040692267e+00 2.081162608324299002e-01 7.172096873903098135e+00
6.924696169045663208e-01 9.013380727513570889e+00 5.459794199788085933e+01 8.363626381662946585e+00 4.652984129778725730e+01 2.943290770305784676e+00 2.010027152644766613e-01 1.004946158032694647e+01
8.640374154676533358e-01 8.049451151794933423e+00 4.396337358004912943e+01 8.029801555761739706e+00 3.978809848391096438e+01 2.653652324185621136e+00 2.014911212932795348e-01 6.209051638997350686e+00
7.559421858929494809e-01 7.379323683326779459e+00 4.871973925550933870e+01 8.329039519662426727e+00 4.807978454423342640e+01 2.737835313102167323e+00 2.041443017636204726e-01 7.139519704684166967e+00
8.305214479630926849e-01 6.923711061234010700e+00 5.245654784899213752e+01 8.282108541707422944e+00 4.846337511332838233e+01 2.793047121285891166e+00 2.007577705678796898e-01 7.822417067975651506e+00
6.619135556471271720e-01 9.193011337155294171e+00 4.940951654048303254e+01 8.079637524735321819e+00 4.530930804744499341e+01 2.769785042106022388e+00 2.062434136089077996e-01 8.148698689549000562e+00
7.291173624751956517e-01 8.393021303880678019e+00 4.469257574278420719e+01 8.192375893218937222e+00 4.342654434585802647e+01 2.687408402569410715e+00 2.020406586406712224e-01 6.458452274620028355e+00
7.252310661435245054e-01 1.075403346028404350e+01 5.020841491730502781e+01 7.781129532226570333e+00 3.062825358758745153e+01 2.840578392132228736e+00 2.003601121576848720e-01 9.211449354663049149e+00
7.578336692753514514e-01 8.432022618941264369e+00 5.536612913967178429e+01 8.055099073227278694e+00 4.484375636186140923e+01 2.880684719482768497e+00 2.016689180285009542e-01 9.995818274711080420e+00
6.934714245798584420e-01 1.085561289544613039e+01 4.183189777928563302e+01 8.063348120990447399e+00 3.106194533712620043e+01 2.689556247155982405e+00 2.044760882969793858e-01 6.029559133872319343e+00
7.278736381072513639e-01 1.033800872093717516e+01 4.469518434436993459e+01 8.266152649878495851e+00 3.112049306854457242e+01 2.748577102555349150e+00 2.119250288502965984e-01 6.622497701240755319e+00
6.804801451976626447e-01 1.149609565219271801e+01 4.803581414801455196e+01 8.333192512584627565e+00 2.937016941275150472e+01 2.851330954947956187e+00 2.039998215822568239e-01 8.573868457439246527e+00
8.084041608472251061e-01 7.584545364461488859e+00 6.045138293318748168e+01 8.789786536956572860e+00 4.962590283683228165e+01 3.031536777713252029e+00 2.095004334318219252e-01 1.191843198266274584e+01
8.314814718741116994e-01 8.086709618204992012e+00 5.061915519604616520e+01 8.355475423371913735e+00 3.484509036913514279e+01 2.884458461266559137e+00 2.007640386677503330e-01 6.949425365348320227e+00
6.313848017871939167e-01 1.121406612923336432e+01 4.241035241083095286e+01 9.007124189965722394e+00 3.346734496556830862e+01 2.808621035723151138e+00 2.128652197869117246e-01 6.470087075425861478e+00
7.572508093295903242e-01 1.005523205436905698e+01 4.082123374258175375e+01 8.258747101683018954e+00 3.334895746249510751e+01 2.673009054406469964e+00 2.021561534670256732e-01 5.870097164008736712e+00
7.504854062753216759e-01 9.660105576650918735e+00 4.052294530281237428e+01 8.547259971752694696e+00 3.502472824772658555e+01 2.664923334410157274e+00 2.114533518113161092e-01 5.703334742964819348e+00
6.775257513371285567e-01 9.258439866775411531e+00 4.664819960171506352e+01 7.858932159583264188e+00 4.364605357802771834e+01 2.686458734583818675e+00 2.015439830541634336e-01 7.361172150941826864e+00
6.619135556471271720e-01 9.193011337155294171e+00 4.940951654048303254e+01 8.079637524735321819e+00 4.530930804744499341e+01 2.769785042106022388e+00 2.062434136089077996e-01 8.148698689549000562e+00
